count,category,title,year,arxiv,in_set_id,n_variants,citing_papers,rep_raw
92,robust_marl,Robust Multi-Agent Reinforcement Learning via Minimax Deep Deterministic Policy Gradient,2019,1610.03295,43,240,1 2 3 4 5 6 10 13 18 19 20 21 24 25 28 29 30 31 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 55 57 58 59 60 61 62 63 64 65 66 67 68 70 72 73 74 75 76 77 79 80 82 83 85 87 89 91 92 93 94 95 97 98 99 100 101 105 106 107 108 110 111 113 122 123 126 127 128 131 135 141 143,"rt + γ max a′ Qtot ψtarg(st+1, a′) −Qtot ψ (st, at) 2i , where ψtarg denotes the target-network parameters updated via an exponential moving average of ψ. 17 Interaction-Breaking Adversarial Learning Framework for Robust Multi-Agent Reinforcement Learning C. Environmental Details This section provi"
70,robust_marl,Robust Multi-Agent Reinforcement Learning with Model Uncertainty,2020,2307.15890,1,138,2 3 4 5 6 7 8 9 10 11 12 16 18 19 20 27 28 29 30 31 32 33 34 35 37 39 40 41 42 45 46 47 48 50 51 55 56 57 60 61 62 63 64 65 67 73 74 76 78 79 89 92 93 94 95 97 98 100 101 102 103 106 110 111 114 117 126 135 137 143,"Madry, A., Makelov, A., Schmidt, L., Tsipras, D., and Vladu, A. Towards deep learning models resistant to adversarial attacks. In 6th International Conference on Learning Representations, ICLR 2018, Vancouver, BC, Canada, April 30 - May 3, 2018, Conference Track Proceedings. OpenReview.net, 2018. UR"
55,robust_marl,Sample-Efficient Robust Multi-Agent Reinforcement Learning in the Face of Environmental Uncertainty,2023,2212.02705,2,158,2 3 4 5 6 7 8 9 10 11 12 13 16 20 21 28 29 30 31 32 33 35 37 38 41 44 45 47 48 49 50 51 52 57 59 61 62 63 65 67 73 79 93 94 96 97 98 99 106 107 110 117 126 142 145,"Ziyuan Zhou, Guanjun Liu, and Mengchu Zhou. A Robust Mean-Field Actor-Critic Reinforcement Learning Against Adversarial Perturbations on Agent States. IEEE Transactions on Neural Networks and Learning Systems, 35(10):14370-14381, October 2024. ISSN 2162-2388. 17 Published as a conference paper at IC"
47,marl,"Lowe R, Wu Y, Tamar A, et al. Multi-agent actor-critic for mixed cooperative-competitive environments[C]//Advances in neural infor- mation processing systems",2017,,,48,1 6 10 13 19 24 25 28 29 30 31 34 35 37 38 39 40 41 42 43 44 46 51 56 65 66 68 71 73 76 77 91 95 97 98 100 101 103 110 111 114 118 126 127 135 137 141,"R. Lowe, Y. WU, A. Tamar, J. Harb, O. Pieter Abbeel, and I. Mordatch, ""Multi-agent actor-critic for mixed cooperative- competitive environments,"" in Advances in Neural Information Processing Systems (I. Guyon, U. V. Luxburg, S. Bengio, H. Wallach, R. Fergus, S. Vishwanathan, and R. Garnett, eds.), v"
36,marl,"The surprising effectiveness of ppo in cooperative multi-agent games, in: Neural Information Processing Systems",2022,2103.01955,,36,13 25 29 30 31 33 40 46 48 49 51 53 55 57 65 73 74 77 80 87 89 91 94 95 96 97 98 99 100 101 106 108 110 111 114 143,"C. Yu, A. Velu, E. Vinitsky, J. Gao, Y. Wang, A. Bayen, and Y. Wu. The surprising effectiveness of ppo in cooperative multi-agent games. Advances in Neural Information Processing Systems, 35:24611-24624, 2022. 11 A Broader Impact Statement The research presented in this paper has the potential to ma"
28,robust_marl,On the Robustness of Cooperative Multi-Agent Reinforcement Learning,2020,2003.03722,59,38,6 24 28 29 30 32 33 34 41 44 45 48 49 50 51 57 62 65 66 67 73 74 96 97 98 99 103 110,"J. Lin, K. Dzeparoska, S. Q. Zhang, A. Leon-Garcia, and N. Papernot, ""On the robustness of cooperative multi-agent reinforcement learning,"" in Proc. IEEE Security Privacy Workshops (SPW), San Francisco, CA, USA, 2020, pp. 62-68, doi: 10.1109/SPW50608.2020.00027."
27,robust_marl,Robust Multi-Agent Reinforcement Learning with State Uncertainty,2004,,28,32,11 12 19 20 31 33 39 49 51 58 59 60 80 90 104 105 113 117 121 122 128 131 136 137 141 142 144,"S. He, S. Han, S. Su, S. Han, S. Zou, and F. Miao. Robust multi-agent reinforcement learning with state uncertainty. Transactions on Machine Learning Research, 2023. ISSN 2835-8856. 18 T. Ho, C. Camerer, and J.-K. Chong. A cognitive hierarchy model games. The Quarterly Journal of Economics, 119:861-"
23,marl,"Markov games as a framework for multi-agent reinforce- ment learning, in: Machine learning proceedings 1994, Elsevier, 1994, pp",1994,,,23,1 2 3 7 9 13 15 16 20 21 28 29 35 42 47 53 58 67 76 77 93 105 135,"Chi Jin, Zhuoran Yang, Zhaoran Wang, and Michael I Jordan. Provably efficient reinforcement learning with linear function approximation. In Jacob Abernethy and Shivani Agarwal, editors, Proceedings of Thirty Third Conference on Learning Theory, volume 125 of Proceedings of Machine Learning Research,"
23,robust_rl,Robust adversarial reinforce- ment learning,2017,,,23,1 3 19 20 24 25 29 30 41 42 44 45 56 61 65 73 74 76 94 97 106 113 126,"L. Pinto, J. Davidson, R. Sukthankar, and A. Gupta, ""Robust adversarial reinforcement learning,"" in Proceedings of the 34th International Conference on Machine Learning, ser. Proceedings of Machine Learning Research, D. Precup and Y. W. Teh, Eds., vol. 70. PMLR, 06-11 Aug 2017, pp. 2817-2826. [Onlin"
22,robust_marl,Robust Multi-Agent Reinforcement Learning with Stochastic Adversary,2017,1702.02284,46,24,28 29 31 34 41 44 45 46 48 49 50 51 52 59 61 62 67 94 97 98 99 110,"Coursera: Neural Networks for Machine Learning. Hu, X., Jiang, X., Zhang, J., Wang, S., Zhou, M., Zhang, B., Gan, Z., and Yu, B. Electric vehicle charging network security: A survey. Journal of Systems Architecture, 159: 103337, 2025. ISSN 1383-7621. Huang, S. H., Papernot, N., Goodfellow, I. J., Du"
22,other,"Frans A Oliehoek, Christopher Amato, et al. A concise intro- duction to decentralized POMDPs, volume 1",2016,,,22,28 29 31 32 33 39 44 45 50 59 61 63 67 73 76 91 95 97 98 100 127 128,"Frans A. Oliehoek and Christopher Amato. A Concise Introduction to Decentralized POMDPs. Springer Publishing Company, Incorporated, 1st edition, 2016. ISBN 3319289276."
21,marl,"Under review as a conference paper at ICLR 2021 Oriol Vinyals, Igor Babuschkin, Wojciech M Czarnecki, Micha¨el Mathieu, Andrew Dudzik, Juny- oung Chung, David H Choi, Richard Powell, Timo Ewalds, Petko Georgiev, et al. Grandmaster level in starcraft ii using multi-agent reinforcement learning",2019,,,21,1 2 3 4 6 8 13 21 24 30 31 40 56 63 73 89 94 95 97 100 101,"Oriol Vinyals, Igor Babuschkin, Wojciech M. Czarnecki, Micha¨el Mathieu, Andrew Dudzik, Junyoung Chung, David Choi, Richard Powell, Timo Ewalds, Petko Georgiev, Junhyuk Oh, Dan Horgan, Manuel Kroiss, Ivo Danihelka, Aja Huang, L. Sifre, Trevor Cai, John P. Agapiou, Max Jaderberg, Alexander Sasha Vezh"
18,other,Ex- plaining and harnessing adversarial examples,2014,1412.6572,,18,32 33 34 41 43 44 45 46 48 49 50 51 59 60 65 98 99 110,"Explain- ing and harnessing adversarial examples. arXiv preprint arXiv:1412.6572. Han, B.; Yao, Q.; Yu, X.; Niu, G.; Xu, M.; Hu, W.; Tsang, I.; and Sugiyama, M. 2018."
16,other,Robust dynamic programming,2005,,,16,1 2 3 4 5 6 9 11 12 20 29 30 73 93 94 97,"Min Hua, Xinda Qi, Dong Chen, Kun Jiang, Zemin Eitan Liu, Hongyu Sun, Quan Zhou, and Hongming Xu. Multi-Agent Reinforcement Learning for Connected and Automated Vehicles Control: Recent Advancements and Future Prospects. IEEE Trans Autom. Sci. Eng., 22: 16266-16286, 2025. doi: 10.1109/TASE.2025.3574"
16,other,Online transportation network cyber-attack detection based on stationary sensor data,2019,1901.09184,,16,1 16 19 24 28 31 44 45 53 57 61 73 74 79 94 97,"Online transportation network cyber-attack detection based on stationary sensor data. Transportation Research Part C: Emerging Technologies 149, 104058. doi:10.1016/j.trc.2023.104058. Tanaji, B.A., Roychowdhury, S., 2024. A survey of cybersecurity challenges and mitigation techniques for connected a"
16,marl,QTRAN: Learning to factorize with transformation for cooperative multi-agent reinforcement learning,2019,1905.05408,,17,5 24 38 41 46 51 56 64 66 68 75 91 95 98 100 101,"Kyunghwan Son, Daewoo Kim, Wan Ju Kang, David Earl Hostallero, and Yung Yi. 2019. QTRAN: Learning to Factorize with Transformation for Coopera- tive Multi-Agent Reinforcement Learning. In Proceedings of the 36th Interna- tional Conference on Machine Learning (Proceedings of Machine Learning Research"
16,other,"Published as a conference paper at ICLR 2024 Adam Gleave, Michael Dennis, Cody Wild, Neel Kant, Sergey Levine, and Stuart Russell",2019,1905.10615,,16,31 35 41 49 52 54 56 58 59 61 63 73 74 79 97 99,"Adam Gleave, Michael Dennis, Cody Wild, Neel Kant, Sergey Levine, and Stuart Russell. Adversarial policies: Attacking deep reinforcement learning. In 8th International Conference on Learning Representations, ICLR 2020, Addis Ababa, Ethiopia, April 26-30, 2020."
