src,dst,src_title,dst_title,how
1,43,Robust MARL with Model Uncertainty,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
2,1,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,Robust MARL with Model Uncertainty,exact
2,21,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,Minimax-Optimal MARL in Markov Games w- Generative Model,exact
2,28,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,Robust MARL with State Uncertainty,exact
2,29,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,What is the Solution for State-Adversarial MARL?,exact
2,43,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
2,86,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,Robust Multi-Agent Bandits over Undirected Graphs,exact
2,98,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
3,1,Breaking the Curse of Multiagency in Robust MARL,Robust MARL with Model Uncertainty,exact
3,2,Breaking the Curse of Multiagency in Robust MARL,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
3,21,Breaking the Curse of Multiagency in Robust MARL,Minimax-Optimal MARL in Markov Games w- Generative Model,exact
3,29,Breaking the Curse of Multiagency in Robust MARL,What is the Solution for State-Adversarial MARL?,exact
3,43,Breaking the Curse of Multiagency in Robust MARL,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
3,86,Breaking the Curse of Multiagency in Robust MARL,Robust Multi-Agent Bandits over Undirected Graphs,exact
3,98,Breaking the Curse of Multiagency in Robust MARL,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
4,3,Taming the Curses of Multiagency ... Linear Function Approximation,Breaking the Curse of Multiagency in Robust MARL,fuzzy
4,8,Taming the Curses of Multiagency ... Linear Function Approximation,Distributionally Robust Online Markov Game w- Linear Func Approx,exact
4,21,Taming the Curses of Multiagency ... Linear Function Approximation,Minimax-Optimal MARL in Markov Games w- Generative Model,exact
5,2,Distributionally Robust Cooperative MARL via Robust Value Factorization,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
5,28,Distributionally Robust Cooperative MARL via Robust Value Factorization,Robust MARL with State Uncertainty,exact
5,29,Distributionally Robust Cooperative MARL via Robust Value Factorization,What is the Solution for State-Adversarial MARL?,exact
5,30,Distributionally Robust Cooperative MARL via Robust Value Factorization,Robust MARL via Adversarial Regularization,exact
5,32,Distributionally Robust Cooperative MARL via Robust Value Factorization,Enhancing Robustness of QMIX vs State-Adversarial Attacks,exact
5,43,Distributionally Robust Cooperative MARL via Robust Value Factorization,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
5,60,Distributionally Robust Cooperative MARL via Robust Value Factorization,Robust Communicative MARL with Active Defense (ADMAC),exact
5,73,Distributionally Robust Cooperative MARL via Robust Value Factorization,Byzantine Robust Cooperative MARL as a Bayesian Game,exact
5,86,Distributionally Robust Cooperative MARL via Robust Value Factorization,Robust Multi-Agent Bandits over Undirected Graphs,exact
5,98,Distributionally Robust Cooperative MARL via Robust Value Factorization,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
5,126,Distributionally Robust Cooperative MARL via Robust Value Factorization,Distributionally Robust MARL for Dynamic Chute Mapping,exact
6,1,Sample-Efficient DR MARL via Online Interaction,Robust MARL with Model Uncertainty,exact
6,2,Sample-Efficient DR MARL via Online Interaction,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
6,3,Sample-Efficient DR MARL via Online Interaction,Breaking the Curse of Multiagency in Robust MARL,exact
6,20,Sample-Efficient DR MARL via Online Interaction,Data-Driven Robust MARL,exact
6,28,Sample-Efficient DR MARL via Online Interaction,Robust MARL with State Uncertainty,exact
6,29,Sample-Efficient DR MARL via Online Interaction,What is the Solution for State-Adversarial MARL?,exact
6,30,Sample-Efficient DR MARL via Online Interaction,Robust MARL via Adversarial Regularization,exact
6,43,Sample-Efficient DR MARL via Online Interaction,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
6,59,Sample-Efficient DR MARL via Online Interaction,On the Robustness of Cooperative MARL,exact
6,93,Sample-Efficient DR MARL via Online Interaction,Sample-Efficient Robust Offline Self-Play (model-based),exact
6,126,Sample-Efficient DR MARL via Online Interaction,Distributionally Robust MARL for Dynamic Chute Mapping,exact
7,2,Strategically Robust MARL with Linear Function Approximation,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
7,12,Strategically Robust MARL with Linear Function Approximation,Behavioral Economics Approach to Principled MARL,exact
8,1,Distributionally Robust Online Markov Game w- Linear Func Approx,Robust MARL with Model Uncertainty,exact
8,2,Distributionally Robust Online Markov Game w- Linear Func Approx,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
8,3,Distributionally Robust Online Markov Game w- Linear Func Approx,Breaking the Curse of Multiagency in Robust MARL,exact
9,1,Distributionally Robust Markov Games with Average Reward,Robust MARL with Model Uncertainty,exact
9,2,Distributionally Robust Markov Games with Average Reward,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
9,3,Distributionally Robust Markov Games with Average Reward,Breaking the Curse of Multiagency in Robust MARL,exact
9,6,Distributionally Robust Markov Games with Average Reward,Sample-Efficient DR MARL via Online Interaction,exact
9,20,Distributionally Robust Markov Games with Average Reward,Data-Driven Robust MARL,exact
9,30,Distributionally Robust Markov Games with Average Reward,Robust MARL via Adversarial Regularization,exact
10,28,Robust Cooperative MARL - Mean-Field Type Game Perspective,Robust MARL with State Uncertainty,exact
10,43,Robust Cooperative MARL - Mean-Field Type Game Perspective,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
11,1,Tractable Equilibrium Computation via Risk Aversion,Robust MARL with Model Uncertainty,exact
11,2,Tractable Equilibrium Computation via Risk Aversion,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
11,28,Tractable Equilibrium Computation via Risk Aversion,Robust MARL with State Uncertainty,exact
12,1,Behavioral Economics Approach to Principled MARL,Robust MARL with Model Uncertainty,exact
12,2,Behavioral Economics Approach to Principled MARL,Sample-Efficient Robust MARL in Face of Environmental Uncertainty,exact
12,28,Behavioral Economics Approach to Principled MARL,Robust MARL with State Uncertainty,exact
13,12,Provably Convergent Actor-Critic in Risk-averse MARL,Behavioral Economics Approach to Principled MARL,exact
14,12,Robust Mean-Field Games with Risk Aversion and Bounded Rationality,Behavioral Economics Approach to Principled MARL,exact
16,1,Robustness to Multi-Modal Env Uncertainty via Curriculum,Robust MARL with Model Uncertainty,exact
16,28,Robustness to Multi-Modal Env Uncertainty via Curriculum,Robust MARL with State Uncertainty,exact
16,29,Robustness to Multi-Modal Env Uncertainty via Curriculum,What is the Solution for State-Adversarial MARL?,exact
16,85,Robustness to Multi-Modal Env Uncertainty via Curriculum,Resilient MARL with Adversarial Value Decomposition,exact
19,1,Scalable Robust MARL for Model Uncertainty,Robust MARL with Model Uncertainty,exact
19,43,Scalable Robust MARL for Model Uncertainty,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
20,1,Data-Driven Robust MARL,Robust MARL with Model Uncertainty,exact
24,43,Robust MARL Driven by Correlated Equilibrium,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
24,59,Robust MARL Driven by Correlated Equilibrium,On the Robustness of Cooperative MARL,exact
25,43,Restless and Uncertain - Robust Policies for Restless Bandits,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
28,24,Robust MARL with State Uncertainty,Robust MARL Driven by Correlated Equilibrium,exact
28,43,Robust MARL with State Uncertainty,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
28,59,Robust MARL with State Uncertainty,On the Robustness of Cooperative MARL,exact
28,72,Robust MARL with State Uncertainty,Robust MARL with Social Empowerment (Coordination & Communication),exact
29,24,What is the Solution for State-Adversarial MARL?,Robust MARL Driven by Correlated Equilibrium,exact
29,28,What is the Solution for State-Adversarial MARL?,Robust MARL with State Uncertainty,exact
29,43,What is the Solution for State-Adversarial MARL?,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
29,59,What is the Solution for State-Adversarial MARL?,On the Robustness of Cooperative MARL,exact
29,72,What is the Solution for State-Adversarial MARL?,Robust MARL with Social Empowerment (Coordination & Communication),exact
30,20,Robust MARL via Adversarial Regularization,Data-Driven Robust MARL,exact
30,28,Robust MARL via Adversarial Regularization,Robust MARL with State Uncertainty,exact
30,29,Robust MARL via Adversarial Regularization,What is the Solution for State-Adversarial MARL?,exact
30,43,Robust MARL via Adversarial Regularization,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
30,59,Robust MARL via Adversarial Regularization,On the Robustness of Cooperative MARL,exact
31,1,MIR2 - Mutual Information Regularization,Robust MARL with Model Uncertainty,exact
31,28,MIR2 - Mutual Information Regularization,Robust MARL with State Uncertainty,exact
31,29,MIR2 - Mutual Information Regularization,What is the Solution for State-Adversarial MARL?,exact
31,30,MIR2 - Mutual Information Regularization,Robust MARL via Adversarial Regularization,exact
31,43,MIR2 - Mutual Information Regularization,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
31,57,MIR2 - Mutual Information Regularization,Robust MA Coordination via Evolutionary Auxiliary Adversarial Attackers,exact
31,73,MIR2 - Mutual Information Regularization,Byzantine Robust Cooperative MARL as a Bayesian Game,exact
32,1,Enhancing Robustness of QMIX vs State-Adversarial Attacks,Robust MARL with Model Uncertainty,exact
32,29,Enhancing Robustness of QMIX vs State-Adversarial Attacks,What is the Solution for State-Adversarial MARL?,exact
32,34,Enhancing Robustness of QMIX vs State-Adversarial Attacks,RoMFAC - Robust Mean-Field Actor-Critic vs State Perturbations,exact
32,59,Enhancing Robustness of QMIX vs State-Adversarial Attacks,On the Robustness of Cooperative MARL,exact
32,99,Enhancing Robustness of QMIX vs State-Adversarial Attacks,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
33,29,Robust Training in MADRL against Optimal Adversary,What is the Solution for State-Adversarial MARL?,exact
33,32,Robust Training in MADRL against Optimal Adversary,Enhancing Robustness of QMIX vs State-Adversarial Attacks,exact
33,59,Robust Training in MADRL against Optimal Adversary,On the Robustness of Cooperative MARL,exact
33,60,Robust Training in MADRL against Optimal Adversary,Robust Communicative MARL with Active Defense (ADMAC),exact
33,98,Robust Training in MADRL against Optimal Adversary,Robustness Testing for MARL - State Perturbations on Critical Agents,exact
33,99,Robust Training in MADRL against Optimal Adversary,Towards Comprehensive Testing on Robustness of Cooperative MARL,exact
33,135,Robust Training in MADRL against Optimal Adversary,Robust MARL via Adversarial Domain Randomization for Dual-UAV,exact
34,43,RoMFAC - Robust Mean-Field Actor-Critic vs State Perturbations,Robust MARL via Minimax Deep Deterministic Policy Gradient (M3DDPG),exact
34,59,RoMFAC - Robust Mean-Field Actor-Critic vs State Perturbations,On the Robustness of Cooperative MARL,exact
35,28,Fault-Tolerant MARL for CAVs under Observation Perturbations,Robust MARL with State Uncertainty,exact
35,77,Fault-Tolerant MARL for CAVs under Observation Perturbations,Towards Fault Tolerance in MARL,fuzzy
35,82,Fault-Tolerant MARL for CAVs under Observation Perturbations,Trust-MARL - On-Ramp Merging,exact
37,28,Rainbow Delay Compensation - MARL for Delayed Observation,Robust MARL with State Uncertainty,exact
