id,title,category,in_degree,out_degree
1,Robust Multi-Agent Reinforcement Learning with Model Uncertainty,robust_marl,24,1
2,Sample-Efficient Robust Multi-Agent Reinforcement Learning in the Face of Environmental Uncertainty,robust_marl,12,7
3,Breaking the Curse of Multiagency in Robust Multi-Agent Reinforcement Learning,robust_marl,5,7
4,Taming the Curses of Multiagency in Robust Markov Games with Large State Space through Linear Function Approximation,robust_marl,0,3
5,Distributionally Robust Cooperative Multi-Agent Reinforcement Learning via Robust Value Factorization,robust_marl,0,11
6,Sample-Efficient Distributionally Robust Multi-Agent Reinforcement Learning via Online Interaction,robust_marl,1,11
7,Strategically Robust Multi-Agent Reinforcement Learning with Linear Function Approximation,robust_marl,0,2
8,Distributionally Robust Online Markov Game with Linear Function Approximation,robust_marl,1,3
9,Distributionally Robust Markov Games with Average Reward,robust_marl,0,6
10,Robust Cooperative Multi-Agent Reinforcement Learning: A Mean-Field Type Game Perspective,robust_marl,0,2
11,Tractable Equilibrium Computation in Markov Games through Risk Aversion,marl,0,3
12,Tractable Multi-Agent Reinforcement Learning Through Behavioral Economics,marl,3,3
13,Provably Convergent Actor-Critic for MARL through Risk-aversion,marl,0,1
14,Robust Mean-Field Games with Risk Aversion and Bounded Rationality,robust_marl,0,1
15,Multi-agent Policy Evaluation via Primal-dual Online Time-averaging,marl,0,0
16,Robustness to Multi-Modal Environment Uncertainty in MARL using Curriculum Learning,robust_marl,0,4
17,Adaptive Robust Estimator for Multi-Agent Reinforcement Learning,robust_marl,0,0
18,A Distributed Primal-Dual Method for Constrained Multi-agent Reinforcement Learning with General Parameterization,marl,0,0
19,Scalable Robust Multi-Agent Reinforcement Learning for Model Uncertainty,robust_marl,0,2
20,Data-Driven Robust Multi-Agent Reinforcement Learning,robust_marl,5,1
21,Minimax-Optimal Multi-Agent RL in Markov Games With a Generative Model,marl,3,0
22,Towards Robust Multi-Agent Reinforcement Learning,robust_marl,0,0
24,Robust Multi-Agent Reinforcement Learning Driven by Correlated Equilibrium,robust_marl,3,2
25,Restless and Uncertain: Robust Policies for Restless Bandits via Deep Multi-Agent Reinforcement Learning,robust_marl,0,1
