count,title,year,arxiv,probable_duplicate,nearest_set_id,nearest_score,citing_papers,rep_raw
10,ROMAX: Certifiably robust deep multiagent reinforcement learning via convex relaxation,2022,2109.06795,False,33,66.7,10 16 28 29 31 46 65 73 79 97,"Sun, C., Kim, D., and How, J. P. ROMAX: certifiably robust deep multiagent reinforcement learning via con- vex relaxation. In 2022 International Conference on Robotics and Automation, ICRA 2022, Philadelphia, PA, USA, May 23-27, 2022, pp. 5503-5510. IEEE, 2022a."
9,Gaussian process based message filtering for robust multi-agent cooperation in the presence of adversarial communication,2020,2012.00508,False,68,67.3,60 61 63 64 65 67 68 80 96,"Aleksander Madry, Aleksandar Makelov, Ludwig Schmidt, Dimitris Tsipras, and Adrian Vladu. To- wards deep learning models resistant to adversarial attacks. In International Conference on Learn- ing Representations, 2018. URL https://openreview.net/forum?id=rJzIBfZAb. Rupert Mitchell, Jan Blumenkamp, "
8,Decentralized robust v-learning for solving markov games with model un- certainty,2023,,False,124,59.7,2 3 4 5 6 8 9 93,"Decentralized robust v-learning for solving markov games with model un- certainty. Journal of Machine Learning Research, 24(371): 1-40. Ma, X.; Liang, Z.; Blanchet, J.; Liu, M.; Xia, L.; Zhang, J.; Zhao, Q.; and Zhou, Z. 2022."
7,Adversarial Attacks On Multi-Agent Communication,2021,2101.06560,False,47,75.0,44 45 50 61 63 65 68,"Dimitris Tsipras, Shibani Santurkar, Logan Engstrom, Alexander Turner, and Aleksander Madry. Ro- bustness may be at odds with accuracy. In International Conference on Learning Representations, 2019. URL https://openreview.net/forum?id=SyxAb30cY7. James Tu, Tsunhsuan Wang, Jingkang Wang, Sivabalan Ma"
7,Learning and testing resilience in cooperative multi- agent systems,2020,,False,97,72.5,16 29 31 41 73 74 97,"Thomy Phan, Thomas Gabor, Andreas Sedlmeier, Fabian Ritz, Bernhard Kempter, Cornel Klein, Horst Sauer, Reiner Schmid, Jan Wieghardt, Marc Zeller, et al. Learning and testing resilience in cooperative multi-agent systems. In Proceedings of the 19th International Conference on Au- tonomous Agents and "
5,Safe and robust multi-agent reinforcement learning for connected autonomous vehicles under state perturbations,2023,2309.11057,False,98,74.8,2 5 44 51 94,"Zhang, Z., Sun, Y., Huang, F., and Miao, F. (2023c). Safe and robust multi-agent reinforcement learning for connected autonomous vehicles under state perturbations. arXiv preprint arXiv:2309.11057. 21 Zhang, Z., Zhou, Y., and Ji, X. (2020e). Model-free reinforcement learning: from clipped pseudo-reg"
5,Attacking cooperative multi-agent reinforcement learning by adversarial minority influence,2023,2302.03322,False,52,72.9,31 51 97 98 103,"Simin Li, Jun Guo, Jingqiao Xiu, Yuwei Zheng, Pu Feng, Xin Yu, Aishan Liu, Yaodong Yang, Bo An, Wenjun Wu, et al. Attacking cooperative multi-agent reinforcement learning by adversarial minority influence. arXiv preprint arXiv:2302.03322, 2023."
5,Resilience enhancement of multi-agent reinforcement learning-based demand response against adversarial attacks,2022,,False,110,71.0,2 3 4 93 97,"Lanting Zeng, Dawei Qiu, and Mingyang Sun. Resilience enhancement of multi-agent reinforce- ment learning-based demand response against adversarial attacks. Applied Energy, 324:119688, 2022."
5,A robust and constrained multi-agent reinforcement learning electric vehicle rebalancing method in amod systems,2022,2209.08230,False,3,65.6,18 28 31 44 137,"S. He, Y. Wang, S. Han, S. Zou, and F. Miao, ""A robust and constrained multi-agent reinforcement learning electric vehicle rebalancing method in amod systems,"" in 2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), 2023, pp. 5637-5644."
5,Evaluating robustness of cooperative marl: A model-based approach,2022,2202.03558,False,59,59.5,32 33 49 62 98,"N. H. Pham, L. M. Nguyen, J. Chen, H. T. Lam, S. Das, and T.-W. Weng. ""Evaluating robustness of cooperative MARL: A model-based approach."" 2023. [Online]. Available: https://openreview.net/forum?id=kugE_tCwsC"
3,Efficient adversarial attacks on online multi-agent reinforcement learning,2023,2307.07670,False,52,76.1,47 48 103,"Liu G, LAI L (2023) Efficient adversarial attacks on online multi-agent reinforcement learning. In: Oh A, Neumann T, Globerson A, Saenko K, Hardt M, Levine S (eds.) Advances in Neural Information Processing Systems, vol. 36, pp. 24401-24433 . https://proceedings.neurips.cc/paper_files/paper/2023/ fi"
3,One4all: Manipulate one agent to poison the cooperative multi-agent reinforcement learning,2023,,False,59,71.8,48 76 103,"Haibin Zheng, Xiaohao Li, Jinyin Chen, Jianfeng Dong, Yan Zhang, and Changting Lin. One4all: Manipulate one agent to poison the cooperative multi- agent reinforcement learning. Computers & Security, 124:103005, 2023. A"
3,"J., Artiglio, G., and Xie, Q. Roping in uncer- tainty: Robustness and regularization in markov games",2024,,False,16,52.9,9 11 12,"McMahan, J., Artiglio, G., and Xie, Q. Roping in uncer- tainty: Robustness and regularization in markov games. In Forty-first International Conference on Machine Learn- ing (ICML). OpenReview.net, 2024."
2,Robust co- operative multi-agent reinforcement learning via multi-view message certification,2024,,False,65,76.2,44 67,"L. Yuan, T. Jiang, L. Li, F. Chen, Z. Zhang, and Y. Yu, ""Robust co- operative multi-agent reinforcement learning via multi-view message certification,"" Science China Information Sciences, vol. 67, no. 4, p. 142102, 2024."
2,Learning effi- cient and robust multi-agent communication via graph information bottleneck,2024,,False,64,76.2,45 67,"S. Ding, W. Du, L. Ding, L. Guo, and J. Zhang, ""Learning effi- cient and robust multi-agent communication via graph information bottleneck,"" in Proceedings of the AAAI Conference on Artificial Intelligence, vol. 38, no. 16, 2024, pp. 17 346-17 353."
2,Sok: Adversarial machine learning attacks and defences in multi-agent reinforcement learning,2023,2301.04299,False,44,73.2,52 103,"Standen M, Kim J, Szabo C (2023) Sok: Adversarial machine learning attacks and defences in multi-agent reinforcement learning. arXiv preprint arXiv:2301.04299"
2,Adversarial machine learning attacks and defences in multi-agent reinforcement learning,2025,,False,45,71.7,50 67,"M. Standen, J. Kim, and C. Szabo, ""Adversarial Machine Learning Attacks and Defences in Multi-Agent Reinforcement Learning,"" ACM Comput. Surv., vol. 57, pp. 124:1-124:35, Jan. 2025."
2,Adversarial attacks in consensus-based multi-agent reinforce- ment learning,2021,,False,44,69.4,78 103,"M. Figura, K. C. Kosaraju, and V. Gupta, ""Adversarial attacks in consensus-based multi-agent reinforcement learning,"" in 2021 Ameri- can Control Conference (ACC), 2021, pp. 3050-3055."
2,"X., Chen, H., Wang, C., Xing, Y., Yang, J., Philip, S. Y., Chang, Y., and He, L. Robust multi-agent reinforcement learning via bayesian distributional value estimation",2024,,False,5,65.3,44 45,"Du, X., Chen, H., Wang, C., Xing, Y., Yang, J., Philip, S. Y., Chang, Y., and He, L. Robust multi-agent reinforcement learning via bayesian distributional value estimation. Pat- tern Recognition, 145:109917, 2024."
1,Toward fault tolerance in multi-agent reinforcement learning,2025,,True,77,99.2,35,"Y. Shi, H. Pei, L. Feng, Y. Zhang, and D. Yao, ""Toward fault tolerance in multi-agent reinforcement learning,"" IEEE Transactions on Automation Science and Engineering, vol. 22, pp. 19 007-19 024, 2025."
