count,candidate_title,year,arxiv,in_xlsx,xlsx_no,xlsx_title,xlsx_processed,set_score,sort_score,citing_papers
5,Resilience enhancement of multi-agent reinforcement learning-based demand response against adversarial attacks,2022,,yes,119,Resilience Enhancement of MARL Demand Response vs Adversarial Attacks,False,93.8,72.6,2 3 4 93 97
2,"X., Chen, H., Wang, C., Xing, Y., Yang, J., Philip, S. Y., Chang, Y., and He, L. Robust multi-agent reinforcement learning via bayesian distributional value estimation",2024,,yes,23,Robust MARL via Bayesian Distributional Value Estimation,False,95.3,55.0,44 45
2,Learning effi- cient and robust multi-agent communication via graph information bottleneck,2024,,verify,64,Robust MA Communication with Graph Information Bottleneck,True,92.5,72.6,45 67
10,ROMAX: Certifiably robust deep multiagent reinforcement learning via convex relaxation,2022,2109.06795,no,61,Certifiably Robust Policy Learning vs Adversarial Communication,True,60.8,56.6,10 16 28 29 31 46 65 73 79 97
9,Gaussian process based message filtering for robust multi-agent cooperation in the presence of adversarial communication,2020,2012.00508,no,67,Robust and Efficient Communication in MARL,True,70.8,53.6,60 61 63 64 65 67 68 80 96
8,Decentralized robust v-learning for solving markov games with model un- certainty,2023,,no,1,Robust MARL with Model Uncertainty,True,66.7,58.8,2 3 4 5 6 8 9 93
7,Adversarial Attacks On Multi-Agent Communication,2021,2101.06560,no,47,Camouflage Adversarial Attacks on MARL,True,73.3,69.8,44 45 50 61 63 65 68
7,Learning and testing resilience in cooperative multi- agent systems,2020,,no,97,Empirical Study on Robustness and Resilience in Cooperative MARL,True,67.7,64.6,16 29 31 41 73 74 97
5,Safe and robust multi-agent reinforcement learning for connected autonomous vehicles under state perturbations,2023,2309.11057,no,114,Robust Voltage Control via Safe DRL vs State Perturbations,True,69.7,54.8,2 5 44 51 94
5,Attacking cooperative multi-agent reinforcement learning by adversarial minority influence,2023,2302.03322,no,52,Adversarial DRL Attacks on MA Cooperative Driving,True,63.9,60.4,31 51 97 98 103
5,A robust and constrained multi-agent reinforcement learning electric vehicle rebalancing method in amod systems,2022,2209.08230,no,26,Robust Multi-agent Counterfactual Prediction,True,58.1,48.6,18 28 31 44 137
5,Evaluating robustness of cooperative marl: A model-based approach,2022,2202.03558,no,59,On the Robustness of Cooperative MARL,True,89.6,62.5,32 33 49 62 98
3,Efficient adversarial attacks on online multi-agent reinforcement learning,2023,2307.07670,no,47,Camouflage Adversarial Attacks on MARL,True,73.3,60.2,47 48 103
3,One4all: Manipulate one agent to poison the cooperative multi-agent reinforcement learning,2023,,no,131,ROMUC: Robust Policy Learning for Multi-USV Cooperative Tasks,True,60.5,53.6,48 76 103
3,"J., Artiglio, G., and Xie, Q. Roping in uncer- tainty: Robustness and regularization in markov games",2024,,no,30,Robust MARL via Adversarial Regularization,True,55.6,52.8,9 11 12
2,Robust co- operative multi-agent reinforcement learning via multi-view message certification,2024,,no,65,Robust Cooperative MARL via Multi-View Message Certification,True,83.5,64.9,44 67
2,Sok: Adversarial machine learning attacks and defences in multi-agent reinforcement learning,2023,2301.04299,no,47,Camouflage Adversarial Attacks on MARL,True,66.7,56.0,52 103
2,Adversarial machine learning attacks and defences in multi-agent reinforcement learning,2025,,no,47,Camouflage Adversarial Attacks on MARL,True,66.7,56.2,50 67
2,Adversarial attacks in consensus-based multi-agent reinforce- ment learning,2021,,no,47,Camouflage Adversarial Attacks on MARL,True,66.7,57.4,78 103
1,Marnet: Backdoor attacks against cooperative multi-agent reinforcement learning,2022,,no,131,ROMUC: Robust Policy Learning for Multi-USV Cooperative Tasks,True,60.5,56.7,103
1,Communication-efficient and resilient distributed deep reinforcement learning for multi-agent systems,2024,,no,67,Robust and Efficient Communication in MARL,True,78.3,55.3,78
1,Security analysis of poisoning attacks against multi-agent reinforcement learning,2021,,no,54,Reward-Poisoning Attacks on Offline MARL,True,59.6,51.9,103
1,Robustness evaluation of multi-agent reinforcement learning algorithms using gnas,2023,,no,15,Multi-Agent Robust Policy Evaluation via Primal-Dual Online Time-Averaging,True,61.9,56.9,103
1,Adversarial attacks on multi-agent communication,2021,,no,47,Camouflage Adversarial Attacks on MARL,True,73.3,69.8,64
1,Safe multi-agent reinforcement learning for wireless applications against adversarial communications,2024,,no,61,Certifiably Robust Policy Learning vs Adversarial Communication,True,60.1,58.9,67
1,Towards resilience for multi-agent qd-learning,2021,,no,78,Fully Byzantine-Resilient Distributed MA Q-Learning,True,59.8,57.7,78
