author,paper_id,year,venue
Kaiqing Zhang,1,2020,NeurIPS 2020
Tao Sun,1,2020,NeurIPS 2020
Yunzhe Tao,1,2020,NeurIPS 2020
Sahika Genc,1,2020,NeurIPS 2020
Sunil Mallya,1,2020,NeurIPS 2020
Tamer Başar,1,2020,NeurIPS 2020
Laixi Shi,2,2024,ICML 2024 (Forty-First International Conference on Machine Learning)
Eric Mazumdar,2,2024,ICML 2024 (Forty-First International Conference on Machine Learning)
Yuejie Chi,2,2024,ICML 2024 (Forty-First International Conference on Machine Learning)
Adam Wierman,2,2024,ICML 2024 (Forty-First International Conference on Machine Learning)
Laixi Shi,3,2025,ICML 2025 (Forty-Second International Conference on Machine Learning)
Jingchu Gai,3,2025,ICML 2025 (Forty-Second International Conference on Machine Learning)
Eric Mazumdar,3,2025,ICML 2025 (Forty-Second International Conference on Machine Learning)
Yuejie Chi,3,2025,ICML 2025 (Forty-Second International Conference on Machine Learning)
Adam Wierman,3,2025,ICML 2025 (Forty-Second International Conference on Machine Learning)
Jingchu Gai,4,2026,arXiv preprint arXiv:2605.03125v2 (2026)
Laixi Shi,4,2026,arXiv preprint arXiv:2605.03125v2 (2026)
Chengrui Qu,5,2026,ICLR 2026 (Fourteenth International Conference on Learning Representations)
Christopher Yeh,5,2026,ICLR 2026 (Fourteenth International Conference on Learning Representations)
Kishan Panaganti,5,2026,ICLR 2026 (Fourteenth International Conference on Learning Representations)
Eric Mazumdar,5,2026,ICLR 2026 (Fourteenth International Conference on Learning Representations)
Adam Wierman,5,2026,ICLR 2026 (Fourteenth International Conference on Learning Representations)
Zain Ulabedeen Farhat,6,2026,ICLR 2026
Debamita Ghosh,6,2026,ICLR 2026
George K. Atia,6,2026,ICLR 2026
Yue Wang,6,2026,ICLR 2026
Jake Gonzales,7,2026,"Not specified (arXiv preprint arXiv:2603.09208v1, dated March 2026)"
Max Horwitz,7,2026,"Not specified (arXiv preprint arXiv:2603.09208v1, dated March 2026)"
Eric Mazumdar,7,2026,"Not specified (arXiv preprint arXiv:2603.09208v1, dated March 2026)"
Lillian J. Ratliff,7,2026,"Not specified (arXiv preprint arXiv:2603.09208v1, dated March 2026)"
