author,n_papers,P1,P2,P3,P4,P5,P6,P7,P9,P10,P11,P12,P13,P16,P20,P21,P24,P28,P29,P31,P32,P33,P34,P35,P40,P41,P43,P44,P45,P46,P47,P50,P51,P54,P57,P58,P59,P61,P63,P64,P65,P66,P67,P69,P73,P76,P77,P78,P79,P87,P88,P89,P93,P94,P97,P98,P99,P101,P105,P106,P107,P108,P127,P128,P135,P148,P150,P152,P154,P155,P156,P157,P159,P165,P168,P169,P176,P179,P182,P185,P192
Eric Mazumdar,8,,1,1,,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanjun Liu,7,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
Ziyuan Zhou,7,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
Fei Miao,6,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,
Laixi Shi,6,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous authors,5,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Shaofeng Zou,5,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
Simin Li,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
Yaodong Yang,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
Adam Wierman,4,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo An,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Jun Guo,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
Sihong He,4,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,
Weiran Guo,4,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
