author_a,author_b,shared_papers,paper_ids
Guanjun Liu,Ziyuan Zhou,7,32;33;34;46;51;98;135
Eric Mazumdar,Laixi Shi,5,2;3;11;12;94
Jun Guo,Simin Li,4,73;97;99;152
Simin Li,Xianglong Liu,4,31;73;97;152
Adam Wierman,Eric Mazumdar,4,2;3;5;94
Guanjun Liu,Weiran Guo,4,32;33;46;51
Weiran Guo,Ziyuan Zhou,4,32;33;46;51
Furong Huang,Yanchao Sun,3,16;61;106
Eric Mazumdar,Kishan Panaganti,3,5;11;12
Guanjun Liu,Jiacun Wang,3,32;33;135
Jiacun Wang,Ziyuan Zhou,3,32;33;135
Jingqiao Xiu,Simin Li,3,31;73;152
Jingqiao Xiu,Xianglong Liu,3,31;73;152
Jingqiao Xiu,Yaodong Yang,3,31;73;152
Jun Guo,Xianglong Liu,3,73;97;152
Simin Li,Yaodong Yang,3,31;73;152
Xianglong Liu,Yaodong Yang,3,31;73;152
Fei Miao,Shaofeng Zou,3,28;29;154
Fei Miao,Shuo Han,3,28;29;154
Fei Miao,Sihong He,3,28;29;154
Shaofeng Zou,Shuo Han,3,28;29;154
Shaofeng Zou,Sihong He,3,28;29;154
Shuo Han,Sihong He,3,28;29;154
Jeremy McMahan,Qiaomin Xie,3,54;159;192
Feng Chen,Lei Yuan,3,57;65;169
Feng Chen,Yang Yu,3,57;65;169
Lei Yuan,Yang Yu,3,57;65;169
Adam Wierman,Laixi Shi,3,2;3;94
Adam Wierman,Yuejie Chi,3,2;3;94
Eric Mazumdar,Yuejie Chi,3,2;3;94
Laixi Shi,Yuejie Chi,3,2;3;94
Aizaz Sharif,Dusica Marijan,2,58;105
Ehsan Sabouni,Fei Miao,2,106;107
Ehsan Sabouni,Wenchao Li,2,106;107
Ehsan Sabouni,Zhili Zhang,2,106;107
Fei Miao,Wenchao Li,2,106;107
Fei Miao,Zhili Zhang,2,106;107
Wenchao Li,Zhili Zhang,2,106;107
Fei Miao,Song Han,2,107;108
Kishan Panaganti,Laixi Shi,2,11;12
Alex Yahja,Anh Le,2,127;128
Alex Yahja,Bo Ryu,2,127;128
Alex Yahja,Ejaz Ahmed,2,127;128
Alex Yahja,Jae H. Kim,2,127;128
Alex Yahja,Kevin Larson,2,127;128
Alex Yahja,Saeed Kaviani,2,127;128
Anh Le,Bo Ryu,2,127;128
Anh Le,Ejaz Ahmed,2,127;128
Anh Le,Jae H. Kim,2,127;128
Anh Le,Kevin Larson,2,127;128
Anh Le,Saeed Kaviani,2,127;128
Bo Ryu,Ejaz Ahmed,2,127;128
Bo Ryu,Jae H. Kim,2,127;128
Bo Ryu,Kevin Larson,2,127;128
Bo Ryu,Saeed Kaviani,2,127;128
Ejaz Ahmed,Jae H. Kim,2,127;128
Ejaz Ahmed,Kevin Larson,2,127;128
Ejaz Ahmed,Saeed Kaviani,2,127;128
Jae H. Kim,Kevin Larson,2,127;128
Jae H. Kim,Saeed Kaviani,2,127;128
Kevin Larson,Saeed Kaviani,2,127;128
Amanda Prorok,Jan Blumenkamp,2,148;168
Shaofeng Zou,Yi Zhou,2,20;150
Aishan Liu,Jiakai Wang,2,73;152
Aishan Liu,Jingqiao Xiu,2,73;152
Aishan Liu,Jun Guo,2,73;152
Aishan Liu,Simin Li,2,73;152
Aishan Liu,Xianglong Liu,2,73;152
Aishan Liu,Xin Yu,2,73;152
Aishan Liu,Yaodong Yang,2,73;152
Bo An,Jingqiao Xiu,2,31;152
Bo An,Pu Feng,2,31;152
Bo An,Simin Li,2,31;152
Bo An,Xianglong Liu,2,31;152
Bo An,Yaodong Yang,2,31;152
Bo An,Yuwei Zheng,2,31;152
Jiakai Wang,Jingqiao Xiu,2,73;152
Jiakai Wang,Jun Guo,2,73;152
Jiakai Wang,Simin Li,2,73;152
Jiakai Wang,Xianglong Liu,2,73;152
Jiakai Wang,Xin Yu,2,73;152
Jiakai Wang,Yaodong Yang,2,73;152
Jingqiao Xiu,Jun Guo,2,73;152
Jingqiao Xiu,Pu Feng,2,31;152
Jingqiao Xiu,Xin Yu,2,73;152
Jingqiao Xiu,Yuwei Zheng,2,31;152
Jun Guo,Xin Yu,2,73;152
Jun Guo,Yaodong Yang,2,73;152
Pu Feng,Simin Li,2,31;152
Pu Feng,Xianglong Liu,2,31;152
Pu Feng,Yaodong Yang,2,31;152
Pu Feng,Yuwei Zheng,2,31;152
Simin Li,Xin Yu,2,73;152
Simin Li,Yuwei Zheng,2,31;152
Xianglong Liu,Xin Yu,2,73;152
Xianglong Liu,Yuwei Zheng,2,31;152
Xin Yu,Yaodong Yang,2,73;152
Yaodong Yang,Yuwei Zheng,2,31;152
Shaofeng Zou,Yue Wang,2,20;154
Claudia Szabo,Junae Kim,2,50;156
Claudia Szabo,Maxwell Standen,2,50;156
Junae Kim,Maxwell Standen,2,50;156
Guanlin Liu,Lifeng Lai,2,47;157
Feng Chen,Zongzhang Zhang,2,65;169
Lei Yuan,Zongzhang Zhang,2,65;169
Yang Yu,Zongzhang Zhang,2,65;169
Eetu-Aleksi Rantala,Joni Pajarinen,2,40;176
Eetu-Aleksi Rantala,Jorge Peña-Queralta,2,40;176
Eetu-Aleksi Rantala,Sahar Salimpour,2,40;176
Eetu-Aleksi Rantala,Wenshuai Zhao,2,40;176
Joni Pajarinen,Jorge Peña-Queralta,2,40;176
Joni Pajarinen,Sahar Salimpour,2,40;176
Joni Pajarinen,Wenshuai Zhao,2,40;176
Jorge Peña-Queralta,Sahar Salimpour,2,40;176
