paper_id,year,venue,n_authors,authors,affiliation,robustness_type,method_paradigm
1,2020,NeurIPS 2020,6,Kaiqing Zhang; Tao Sun; Yunzhe Tao; Sahika Genc; Sunil Mallya; Tamer Başar,University of Illinois at Urbana-Champaign (ECE & CSL); Amazon Web Services,Model uncertainty (distribution-free uncertainty in the reward function and transition probabilities; sim-to-real gap),"Robust Markov game (robust stochastic game), minimax / worst-case, nature player, Q-learning, actor-critic with function approximation, game-theoretic equilibrium"
2,2024,ICML 2024 (Forty-First International Conference on Machine Learning),4,Laixi Shi; Eric Mazumdar; Yuejie Chi; Adam Wierman,"California Institute of Technology (Shi, Mazumdar, Wierman); Carnegie Mellon University (Chi)","Environmental uncertainty (model mismatch / sim-to-real gap in the transition kernel); distributionally robust, worst-case over prescribed uncertainty sets","Model-based; distributionally robust Markov games (RMGs); (s,a)-rectangular uncertainty sets (TV distance); generative model setting; DR-NVI algorithm; information-theoretic lower bound"
3,2025,ICML 2025 (Forty-Second International Conference on Machine Learning),5,Laixi Shi; Jingchu Gai; Eric Mazumdar; Yuejie Chi; Adam Wierman,"California Institute of Technology (Shi, Mazumdar, Wierman); Peking University (Gai); Carnegie Mellon University (Chi)","Environmental uncertainty (sim-to-real gap, dynamics shift); distributionally robust, worst-case over agent-wise fictitious uncertainty sets incorporating other agents' integrated behavior","Model-based; fictitious uncertainty sets (inspired by behavioral economics / quantal response); (s,ai)-rectangularity (marginal over others' policies); generative model; Robust-Q-FTRL algorithm (online learning with FTRL + variance bonus); breaks curse of multiagency"
4,2026,arXiv preprint arXiv:2605.03125v2 (2026),2,Jingchu Gai; Laixi Shi,Carnegie Mellon University (Gai); Johns Hopkins University (Shi),"Environmental uncertainty (sim-to-real gap, dynamics shift); distributionally robust with fictitious TV uncertainty sets under per-agent (s,ai)-rectangularity","Linear function approximation (LFA), fictitious uncertainty sets; L-Robust-Q-FTRL (generative model) and Online-L-Robust-Q-FTRL (online interactive); breaks curse of multiagency for RMGs with infinite/large state spaces"
5,2026,ICLR 2026 (Fourteenth International Conference on Learning Representations),5,Chengrui Qu; Christopher Yeh; Kishan Panaganti; Eric Mazumdar; Adam Wierman,"California Institute of Technology (Qu, Yeh, Mazumdar, Wierman); Tencent AI Lab (Panaganti)","Environmental uncertainty (sim-to-real gap, model mismatch, system noise); distributionally robust, worst-case over (h,a)-rectangular uncertainty sets (ρ-contamination and TV distance)","Cooperative Dec-POMDP with CTDE; DrIGM principle; robust value factorization (VDN, QMIX, QTRAN); robust Bellman operators; deep learning (DRQN + mixing networks); practical/empirical + theoretical robustness guarantees"
6,2026,ICLR 2026,4,Zain Ulabedeen Farhat; Debamita Ghosh; George K. Atia; Yue Wang,"Department of Electrical & Computer Engineering and Department of Computer Science, University of Central Florida, Orlando, FL, USA","Environment/model uncertainty (sim-to-real gap, model mismatch from noise or adversarial attacks) modeled as distributional uncertainty over transition kernels; uncertainty sets measured by Total Variation (TV) distance and Kullback-Leibler (KL) divergence.",Distributionally Robust Markov Game (DRMG) theory; model-based online RL; optimism (UCB-style exploration bonus) combined with pessimism (worst-case robust optimization); robust value iteration; robust equilibrium learning (NE/CCE/CE).
7,2026,"Not specified (arXiv preprint arXiv:2603.09208v1, dated March 2026)",4,Jake Gonzales; Max Horwitz; Eric Mazumdar; Lillian J. Ratliff,"Department of Electrical & Computer Engineering, University of Washington; Computing & Mathematical Sciences, California Institute of Technology","Strategic/opponent robustness (robustness to opponent misspecification and partner perturbation/cross-play), payoff/approximation-error robustness (Lipschitz stability of the equilibrium map under estimated-payoff perturbations), plus environment/model uncertainty and risk-sensitivity via convex risk measures and distributionally robust optimization.","Risk-Sensitive / Risk-Averse Quantal Response Equilibrium (RQRE), bounded rationality (quantal response, entropy regularization), convex/coherent risk measures with dual (DRO) representation, optimistic value iteration with linear function approximation, finite-sample regret analysis."
8,2026,"Not specified (arXiv:2511.07831v1 [stat.ML], 11 Nov 2025; copyright notice ""Copyright © 2026"")",2,Zewu Zheng; Yuanyuan Lin,"Department of Statistics and Data Science, The Chinese University of Hong Kong","Environment/model uncertainty (distributional shift of the transition dynamics between simulator and test environment; sim-to-real gap), modeled via d-rectangular total-variation uncertainty sets.",Distributionally robust Markov game (DRMG) theory; robust least-square value iteration with exploration bonus; minimax/worst-case over uncertainty sets; coarse correlated equilibrium (CCE); linear function approximation; regret/sample-complexity analysis.
9,2026,"ICML 2026 (Proceedings of the 43rd International Conference on Machine Learning, PMLR)",2,Zachary Roch; Yue Wang,"Department of Electrical and Computer Engineering, University of Central Florida; Department of Computer Science, University of Central Florida (Orlando, Florida, USA)","Model uncertainty / model mismatch (Sim-to-Real gap); distributional robustness over an (s,a)-rectangular uncertainty set of transition kernels; worst-case over plausible game models.",Distributionally robust Markov game (DR-MG) theory; average-reward criterion; robust Bellman equation; robust Nash equilibrium; game-theoretic equilibrium existence (Kakutani fixed point); robust Nash value iteration; two-time-scale TD descent (smoothed via Moreau envelope).
10,2024,"Proceedings of Machine Learning Research vol 242 (6th Annual Conference on Learning for Dynamics and Control, L4DC) 2024",4,Muhammad Aneeq uz Zaman; Mathieu Laurière; Alec Koppel; Tamer Başar,"Coordinated Science Laboratory, University of Illinois at Urbana-Champaign; Shanghai Frontiers Science Center of Artificial Intelligence and Deep Learning & NYU-ECNU Institute of Mathematical Sciences at NYU Shanghai; AI Research, JP Morgan Chase & Co.","Model mis-specification / un-modeled (non-stochastic, possibly adversarial) disturbances on the transition dynamics, alongside stochastic noise with known distribution; worst-case (H-infinity-style) noise attenuation in a large-population multi-agent system.",Robust control as a zero-sum min-max dynamic game; Mean-Field Type Game (MFTG) / Robust Mean-Field Control (RMFC); Linear-Quadratic (LQ) benchmark; receding-horizon policy gradient descent-ascent; zero-order (model-free) policy optimization; Nash/saddle-point equilibrium.
11,2024,"Not specified (arXiv preprint, August 2024)",3,Eric Mazumdar; Kishan Panaganti; Laixi Shi,California Institute of Technology (Department of Computing + Mathematical Sciences; Department of Economics),"Environmental uncertainty (reward/transition) and opponent-strategy randomness, handled via risk-aversion; closely linked to distributionally robust RL/MARL through duality (worst-case disturbances within a ball around the nominal model / opponent distribution).",Game-theoretic equilibrium; risk-sensitive / risk-averse decision-making; convex risk measures + dual representation; bounded rationality (quantal response); no-regret learning; equilibrium collapse (CCE = NE = RQE in an augmented 2n-player game).
12,2025,ICLR 2025,3,Eric Mazumdar; Kishan Panaganti; Laixi Shi,"Department of Computing and Mathematical Sciences, California Institute of Technology, Pasadena, CA, USA",Risk-aversion to environment/dynamics uncertainty and to opponents' strategies (uncertainty caused by the environment and other players); bounded rationality (imperfect optimization). Modeled via convex risk measures with a dual (adversarial) representation rather than an explicit uncertainty-set / threat model.,"Behavioral-economics-inspired equilibrium concept (risk-averse quantal response equilibrium, RQE); game-theoretic equilibrium; convex risk measures with dual (worst-case) formulation; no-regret learning / CCE-RQE equilibrium collapse; quantal response / entropy-style regularization; dynamic programming for finite-horizon Markov games; generative-model sample complexity."
13,2026,"Preprint (arXiv:2602.12386v2 [cs.MA], 29 May 2026); dated ""Preprint. June 1, 2026.""",2,Yizhou Zhang; Eric Mazumdar,"Department of Computing and Mathematical Sciences, California Institute of Technology, Pasadena, CA, USA",Strategic risk aversion (agents are risk-averse against the behaviors of other agents rather than the environment); robustness/risk-aversion modeled via an imagined adversary constrained by a divergence penalty; bounded rationality.,"Risk-averse Quantal-Response Equilibria (RQE), behavioral game theory, convex risk measures, monotone games, contractive risk-adjusted Bellman operator, single-timescale actor-critic (faster actor / slower critic), stochastic approximation, Lyapunov drift analysis."
14,2026,"Not specified (arXiv preprint, 2026)",3,Bhavini Jeloka; Yue Guan; Panagiotis Tsiotras,"School of Aerospace Engineering, Georgia Institute of Technology, Atlanta, GA, USA",Distributional uncertainty in the initial population (mean-field) distribution; sensitivity of open-loop policies to unexpected/erroneous initial conditions; also models cognitive constraints (bounded rationality / deviations from full rationality).,"Risk-sensitive / risk-averse optimization (convex risk measures with dual representation), mean-field games (MFG), quantal response equilibrium / convex regularization for bounded rationality, fixed-point iteration, fictitious play, actor-critic deep RL."
15,2023,"Preprint submitted to Journal of Parallel and Distributed Computing, 2023 (not peer reviewed; SSRN preprint)",3,Gang Chen; Changli Pu; Yaoyao Zhou,"School of Automation, Chongqing University, Chongqing, 400044, China","External/environmental noise on estimations (e.g., Gaussian noise) and communication uncertainty (time-varying, jointly connected, directed communication networks). Robustness here means improving estimation robustness against ubiquitous noise and unreliable/changing inter-agent communication, not adversarial or model-uncertainty robustness.",Distributed policy evaluation; MSPBE minimization reformulated as a primal-dual saddle-point problem via Fenchel duality; primal-dual online time-averaging; distributed (consensus) optimization over time-varying jointly connected digraphs; Laplacian averaging.
16,2023,Pre-print (Under Review); arXiv 2023,4,Aakriti Agrawal; Rohith Aralikatti; Yanchao Sun; Furong Huang,"Department of Computer Science, University of Maryland","Multi-modal environment uncertainty — simultaneous uncertainty in two of {reward, state/observation, action} (and transition dynamics in the general formulation); covers reward uncertainty, state/observation perturbation, and action uncertainty","Robust Markov game, maximin (worst-case) optimization, robust Nash equilibrium, curriculum learning (lookahead curriculum with progressive noise increase)"
17,2026,"Not specified (Preprint, March 24, 2026; arXiv:2603.21574v1 [cs.AI])",11,Zhongyi Li; Wan Tian; Jingyu Chen; Kangyao Huang; Huiming Zhang; Hui Yang; Tao Ren; Jinyang Jiang; Yijie Peng; Yikun Ban; Fuzhen Zhuang,Beihang University; Peking University; Chinese Academy of Sciences; Tsinghua University,"Reward perturbation — noisy, biased, heavy-tailed and outlier-contaminated reward signals in multi-agent (LLM) policy optimization; robustness of advantage estimation against contaminated batch statistics.","Robust statistics / robust estimation (Median-of-Means refinement with adaptive robust loss), risk-/robustness-aware policy optimization built on GRPO; structured multi-agent collaboration protocol."
18,2026,"Not specified (arXiv:2410.15335v2 [eess.SY], 7 May 2026)",2,Ali Kahe; Hamed Kebriaei,"School of ECE, College of Engineering, University of Tehran, Tehran, Iran; H. Kebriaei is also with the School of Computer Science, Institute for Research in Fundamental Sciences (IPM), Tehran, Iran",Safety constraints (cooperative Constrained MARL within the Constrained Markov Game framework — global constraint satisfaction as a counterpart to safety/feasibility); stochastic environment dynamics. Not adversarial/model-uncertainty robustness in the worst-case sense.,"Distributed primal-dual (Lagrangian) optimization, actor-critic with linear/general function approximation, two/three-timescale stochastic approximation, consensus over networked agents"
19,2023,2023 62nd IEEE Conference on Decision and Control (CDC),5,Younkyung Jwa; Minseon Gwak; Jiin Kwak; Chang Wook Ahn; PooGyeon Park,"Gwangju Institute of Science and Technology (GIST); Pohang University of Science and Technology (POSTECH); Ulsan National Institute of Science and Technology (UNIST), Korea","Model uncertainty, specifically reward-function uncertainty (noisy rewards drawn from a truncated Gaussian), combined with scalability to many agents","Robust Markov game with nature actor, actor-critic (MADDPG-style), attention-based architecture, evolutionary population curriculum learning, minimax / worst-case robust Nash equilibrium"
20,2022,IEEE International Workshop on Machine Learning for Signal Processing (MLSP) 2022,5,Yudan Wang; Yue Wang; Yi Zhou; Alvaro Velasquez; Shaofeng Zou,"Department of Electrical Engineering, University at Buffalo; Department of Electrical and Computer Engineering, University of Utah; Information Directorate, Air Force Research Laboratory","Model uncertainty in the Markov transition kernel (distributional uncertainty; sim-to-real / train-test model deviation; random perturbations, adversarial attacks, outliers in sampling)","Robust MDP, distributionally robust RL, robust Q-learning, R-contamination uncertainty set, decentralized/distributed optimization (average consensus), minimax worst-case optimization, finite-time / sample-complexity analysis"
21,2022,NeurIPS 2022 (36th Conference on Neural Information Processing Systems),4,Gen Li; Yuejie Chi; Yuting Wei; Yuxin Chen,University of Pennsylvania (UPenn); Carnegie Mellon University (CMU),"Not a robustness/perturbation paper in the adversarial sense; ""minimax"" here refers to minimax-optimal sample complexity. The work draws on online adversarial learning (Follow-the-Regularized-Leader) as an algorithmic subroutine to break the curse of multiple agents.","Sample-complexity / minimax theory for Markov games; model-free Q-learning with FTRL (online adversarial learning), optimism in the face of uncertainty (Bernstein-style/UCB bonuses), generative-model (simulator) sampling, game-theoretic equilibria (Nash equilibrium / coarse correlated equilibrium)."
22,2024,"AAAI Spring Symposium Series (SSS-24), 2024",1,Aritra Mitra,North Carolina State University,"Structured perturbations to RL update directions arising in distributed/federated RL — (i) lossy compression of communicated updates and (ii) arbitrary but bounded time-varying delays; also lossy, packet-dropping (erasure) communication channels. (Note: ""robustness"" here means tolerance of distributed-optimization-style communication/system perturbations, not adversarial/model-uncertainty robustness.)",Finite-time / non-asymptotic stochastic approximation analysis; compressed TD with error-feedback; multi-agent (federated) TD learning; delay-adaptive algorithms; Markovian-noise stochastic approximation
