team_label,n_recurring_authors,members(papers),all_paper_ids
UConn/BU (Safe-Robust CAV),15,Fei Miao(6); Shaofeng Zou(5); Sihong He(4); Yue Wang(4); Yanchao Sun(3); Furong Huang(3); Shuo Han(3); Zhili Zhang(2); Ehsan Sabouni(2); Wenchao Li(2); Song Han(2); Yi Zhou(2); Alvaro Velasquez(2); Songyang Han(2); Sanbao Su(2),6;9;16;20;28;29;61;106;107;108;150;154;165;185
Beihang/PKU (Adversarial c-MARL),12,Yaodong Yang(5); Simin Li(5); Jun Guo(4); Bo An(4); Xianglong Liu(4); Jingqiao Xiu(3); Yuwei Zheng(2); Pu Feng(2); Xin Yu(2); Jiakai Wang(2); Aishan Liu(2); Ruixiao Xu(2),31;63;64;73;76;97;99;101;152
"Caltech/CMU Theory (RMG, RQE)",6,Eric Mazumdar(8); Laixi Shi(6); Yuejie Chi(4); Adam Wierman(4); Kishan Panaganti(3); Jingchu Gai(2),2;3;4;5;7;11;12;13;21;94
Tongji/Monmouth (State-Adversarial),5,Guanjun Liu(7); Ziyuan Zhou(7); Weiran Guo(4); Jiacun Wang(3); MengChu Zhou(2),32;33;34;46;51;98;135
EpiSys/Boeing (Military Routing),7,Saeed Kaviani(2); Bo Ryu(2); Ejaz Ahmed(2); Kevin Larson(2); Anh Le(2); Alex Yahja(2); Jae H. Kim(2),127;128
Nanjing U/Polixir (Comm-Robust),5,Lei Yuan(3); Feng Chen(3); Yang Yu(3); Zongzhang Zhang(2); Lihe Li(2),57;65;169
Wisconsin (Poisoning/Game Theory),4,Jeremy McMahan(3); Qiaomin Xie(3); Young Wu(2); Xiaojin Zhu(2),54;159;192
Aalto (Robustness eval),5,Wenshuai Zhao(2); Eetu-Aleksi Rantala(2); Sahar Salimpour(2); Joni Pajarinen(2); Jorge Peña-Queralta(2),40;176
Team: Yuchen Shi,4,Yuchen Shi(2); Huaxin Pei(2); Yi Zhang(2); Danya Yao(2),35;77
Adelaide/DST (Defence),3,Maxwell Standen(2); Junae Kim(2); Claudia Szabo(2),50;156
UNIST? (per-paper),3,Sunwoo Lee(2); Yonghyeon Jo(2); Seungyul Han(2),44;45
Team: Zhenyu Pan,3,Zhenyu Pan(2); Yiting Zhang(2); Haozheng Luo(2),87;88
Simula (AV robustness eval),2,Aizaz Sharif(2); Dusica Marijan(2),58;105
Cambridge/Prorok (Swarm GNN),2,Jan Blumenkamp(2); Amanda Prorok(2),148;168
UC Davis (Poisoning),2,Guanlin Liu(2); Lifeng Lai(2),47;157
Team: Haejoon Lee,2,Haejoon Lee(2); Dimitra Panagou(2),78;179
Team: Stuart Russell,2,Stuart Russell(2); Fei Fang(2),43;89;182
Team: Jieyu Lin,2,Jieyu Lin(2); Sai Qian Zhang(2),59;66
